	GSM7985465_water_r1	GSM7985466_water_r2	GSM7985467_water_r3	GSM7985294_cip_0p78uM_r1	GSM7985295_cip_0p78uM_r2	GSM7985296_cip_0p78uM_r3	GSM7985297_cip_1p56uM_r1	GSM7985298_cip_1p56uM_r2	GSM7985299_cip_1p56uM_r3
PA14_RS27335	195.755666467418	164.82256657086	199.852009645184	166.692872084859	145.687052998005	146.451337561932	141.530495458921	183.238532283281	128.043184346441
PA14_RS27340	179.013405519547	205.823205021323	193.019462306887	259.961502894244	220.855372895912	223.212038628875	151.050483942705	179.12081245669	267.38429672345
PA14_RS27345	207.346462508252	228.783562553582	236.576951588529	150.817360457729	168.934986987049	210.081918709529	149.781152144867	132.796464407546	171.35190846362
PA14_RS27350	60.5297126576884	44.2806895264998	66.6173365483945	51.5954127881706	40.2964189143419	55.5505073510775	77.4292396681094	65.8835172254493	84.7344602292625
PA14_RS27355	91.4385020999123	125.461953658416	89.6771838151465	149.825140981034	109.265289748504	128.271171519761	86.9492281518934	102.942995664765	62.1386041681258
PA14_RS27360	101.741431913987	124.641940889407	136.650946765938	128.988531970427	132.513223737547	117.161070049545	123.125184390272	127.649314624308	128.043184346441
PA14_RS27365	423.707988603819	378.025886513267	302.340219719637	433.599911315972	475.032784509453	517.124722977303	385.876866542709	369.565354436505	271.15027273364
PA14_RS27370	891.203428917455	1004.51564203634	1066.7314531916	817.588848797165	898.920114243011	912.038329782236	702.575150103255	806.043656055107	600.673173625216
PA14_RS27375	646.508845833183	706.030994116969	868.58758038099	655.857074095784	770.281546170304	700.946401848141	786.985714659473	885.309762716976	647.747873752584
PA14_RS27380	19.3179934013899	18.8602936872129	35.8708735260586	39.6887790678235	61.2195595044809	39.3903597580368	48.2346083178387	38.0889083959629	45.1917121222733
PA14_RS27385	94.014234553431	127.921991965444	117.007373168334	188.521700572162	175.134436050794	161.601475930407	189.130437877841	225.445160505834	199.59672854004
PA14_RS27390	10.3029298140746	17.2202681491944	28.1842577704746	22.8210479639985	27.122589653884	17.1701568176058	27.290633653514	27.7946088294864	7.53195202037889
PA14_RS27395	12.8786622675933	22.9603575322592	24.7679841013262	38.696559591128	34.096969850597	30.3002767369514	36.175956238379	52.5009277890299	20.7128680560419
